job title,company name,date,location,skills
Digital Marketing Specialist,Pyramid Poultry Co. -,1 month ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · Communication skills · English · Social Media · Business Administration · Communication · E-Marketing · Marketing
E Marketing Manager,Sindi -,9 days ago,"Giza, Egypt ",Full TimeManager · 9 - 15 Yrs of Exp · Marketing/PR/Advertising · E-Marketing · e.marketing · Marketing · Online Marketing
E Marketing Specialist,Confidential -,1 month ago,"10th of Ramadan City, Sharqia, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Communication · Computer Skills · Digital Marketing · E-Marketing · SEO · Social Media · Online Marketing
Rightshero Commercial & Marketing Assistant,Digisay -,2 months ago,"Zamalek, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Business Development · Marketing/PR/Advertising · Project/Program Management · Business Development · Marketing · Account Management
Marketing Director,GoTrah -,4 days ago,"Cairo, Egypt ",Full TimeWork From HomeSenior Management · 10 - 12 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · Management · Digital Marketing · Content Marketing · Social Media · business · Campaign · Communication
Digital Marketing Manager,Beautifydental@gmail.com -,3 days ago,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Communication skills · Administration · Clinic Management · Management · Microsoft Office · Office management · Social Media · Digital Marketing
Marketing Researcher - Alexandria,Lecico Egypt -,1 month ago,"Alexandria, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · males_only · Marketing/PR/Advertising · Analyst/Research · Media/Journalism/Publishing · Market Research · Analytical · Research · Marketing · Social Media · E-marketing · English
Digital Marketing Executive,ContrackFM -,2 months ago,"Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · E-Marketing · media · Social Media · English · Marketing · SEM · SEO
Real Estate Marketing Director,Confidential -,1 month ago,"New Cairo, Cairo, Egypt ",Full TimeSenior Management · 12+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Strategy/Consulting · Marketing · Real Estate · Strategy · Events · Digital Marketing · Marketing Strategy · Advertising
Sales Executive,SDEX Ltd. -,2 months ago,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 2 - 6 Yrs of Exp · IT/Software Development · Sales · Digital Marketing · Negotiation · sales skills · Software
Account Manager (Digital Marketing Field),Bevatel -,1 month ago,"Dokki, Giza, Egypt ",Full TimeManager · 1 - 3 Yrs of Exp · Customer Service/Support · Marketing/PR/Advertising · Account Management · Marketing Agency · Negotiation · Flexibility · Sales · Marketing · Communication · Agency
Copywriter,Pixel Online Marketing and Advertising -,3 days ago,"Dubai, United Arab Emirates ",Full TimeWork From HomeExperienced · 2 - 10 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Copywriting · Digital Marketing · Social Media Advertising · Communication skills · Content Writing · Marketing · Writing
Senior Social Media Specialist - Alexandria,Caduceus Lane -,5 days ago,"San Stefano, Alexandria, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · SEO · PPC · SEM · Social Media · Online Marketing · Digital Marketing · E-Marketing · Marketing
Marketing Specialist,ComeX Engineering Company -,2 days ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · E-Marketing · Marketing · Google Adwords · SEO · media · social · Digital
Creative Content Creator,DEVOPSolution -,3 days ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · Branding · Communication · Google Analytics · Marketing · Management · Content · Social Media
Senior eCommerce Specialist,Hands of Hope Physical Therapy & Wellness -,2 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Business Development · Marketing/PR/Advertising · Sales/Retail · Business Development · Sales · English · Marketing · Digital Marketing · E-Marketing · Market Research
Media Buyer (Google Ads & Facebook Ads Specialist),Digital Oarks -,5 days ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Marketing/PR/Advertising · Ads · Google Ads · Digital Marketing · Social Media Advertising · Microsoft Office
Telesales Agent,The Master Gate -,5 days ago,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · females_preferred · Customer Service/Support · Sales/Retail · Sales · Telesales · Digital Marketing · Digital Advertising · Digital Media Sales · Cold Calling · Microsoft Excel
Junior Sales Specialist,Confidential -,3 days ago,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Digital Marketing · Digital · Marketing · Sales · sales skills · Selling · Skills · Sales Target
Media Buyer - Google Ads Specialist,Bevatel -,3 days ago,"Dokki, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Google Ads · Digital Marketing · Media Buying · Saudi Market · Analytical skills · Linkedin ads · twitter ads
Social Media Manager,Confidential -,5 days ago,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 1 - 5 Yrs of Exp · Administration · Marketing/PR/Advertising · Communication · digital media · E-Marketing · Editing · Marketing · media · Online Marketing · Digital
Social Media & Marketing Specialist,AZLink Logistics Solutions Corp -,9 days ago,"New Nozha, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · marketing plan · Marketing · Social Media · Social Media Strategy · E-Marketing · Strategy · social media marketing · campaigns
Head Of Marketing,IL CAZAR Development -,1 month ago,"Cairo, Egypt ",Full TimeSenior Management · 7+ Yrs of Exp · Operations/Management · Marketing/PR/Advertising · Marketing · Real Estate · Digital Marketing · Market Research · Advertising · Social Media · Communication · English
Marketing Executive - Real Estate,Confidential -,1 month ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising · Digital Marketing · Marketing · Real Estate · Digital · Market Research · English · Business Administration · Communication · SEO
Social Media Designer,Armaia -,13 days ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 15 Yrs of Exp · females_only · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · Digital Advertising · Social Media Strategy · Graphic Design
Business Development Specialist,Affsquare -,11 days ago,"Dubai, United Arab Emirates ",Full TimeExperienced · 3+ Yrs of Exp · Business Development · Marketing/PR/Advertising · Business Development · Digital Marketing · B2B · Marketing · Sales · sales skills · Affiliate Marketing · Performance Management
Marketing Manager,QARA -,11 days ago,"New Cairo, Cairo, Egypt ",Full TimeManager · 8 - 11 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Branding · Advertising · Communication · Marketing · Market Research · Social Media · Administration · MBA
Social Media Specialist,Studygram Worldwide -,14 days ago,"New Cairo, Cairo, Egypt ",Full TimePart TimeExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · Writing/Editorial · Marketing/PR/Advertising · digital media · Creative · Branding · Video Design · Video Editing · Marketing · Education
E-Commerce Manager,Confidential -,9 days ago,"Mokattam, Cairo, Egypt ",Full TimeManager · 10+ Yrs of Exp · Operations/Management · Marketing/PR/Advertising · Sales/Retail · E-Commerce · Marketing · Management · Sales · English · Commerce · Digital Marketing
Media Buyer-,Ibridge Investments  -,1 month ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Advertising · Buyer · Buyer persona · Digital Marketing · Marketing · media · SEO
Administrative Assistant,jmskef -,9 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · females_only · Administration · Operations/Management · Digital Marketing · Microsoft Office · Administration · English · Marketing · Office management
Marketing Officer,LOLC EL-OULA MICROFINANCE EGYPT’ -,16 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · E-Marketing · Marketing · Social Media · English · Content Writing · Digital Marketing · Writing · Content
Social Media Specialist & Graphic Designer,One Point Holding -,13 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Creative/Design/Art · Writing/Editorial · Marketing/PR/Advertising · Social Media · Media · Marketing · E-marketing · Digital Marketing · Graphic Design · Design
Social Media Moderator,Selah ElTelmeez For Publishing & printing -,13 days ago,"Obour City, Cairo, Egypt ",Full TimeShift BasedExperienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Social Media · Content · Digital Campaigns · Marketing · E-marketing · Arabic · Creative · Customer Service
Social Media Specialist,Dealtio -,3 days ago,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · communications · digital media · Digital · E-Marketing · media · Online Marketing · social · social media marketing
Social Media Specialist,e Aswaaq Misr -,1 day ago,"Smart Village, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · Communication · Content · Creative · Design · Digital · Digital Marketing · E-Marketing
Digital Media Buyer,profactory academy -,2 months ago,"6th of October, Giza, Egypt ",Work From HomeEntry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Editing · Photography · Video Editing · Storytelling · Videography · E-Marketing · Marketing · Digital Marketing
SEO Internship,Osolutions -,16 days ago,"Heliopolis, Cairo, Egypt ",InternshipEntry Level · Marketing/PR/Advertising · Media/Journalism/Publishing · Content · Digital Marketing · E-Marketing · Search Engine Optimization · SEO · Research · Marketing
Customer Support &Sales Professional (French Speakers),Delivery-tech -,11 days ago,"Alexandria, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 1+ Yrs of Exp · Business Development · Customer Service/Support · Sales/Retail · french · English · Customer Support · Communication skills · Sales · sales skills · IT
Customer Support &Sales Professional (German Speakers),Delivery-tech -,11 days ago,"Alexandria, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 1+ Yrs of Exp · Business Development · Customer Service/Support · Sales/Retail · English · Customer Support · Communication skills · Sales · sales skills · IT · Internet
Google Ads Specialist (Part Time),Dimensions  -,11 days ago,"Cairo, Egypt ",Part TimeFreelance / ProjectWork From HomeExperienced · 2 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · SEO · Google Adwords · PPC · Marketing · Social Media · Digital Marketing · Google Analytics · SEM
Paid Ads Lead,Breadfast -,11 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Marketing/PR/Advertising · Digital Marketing · Advertising · Facebook ads · Google Ads · Paid Ads · Social Media · Marketing · E-Marketing · Communication
Brand Manager OTC,dkt Egypt -,17 days ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · males_only · Operations/Management · Marketing/PR/Advertising · Media/Journalism/Publishing · Advertising · Brand · Brand Management · Branding · FMCG · Market Research · Marketing
Senior Digital Marketing,Repton Cairo School -,2 months ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · Marketing/PR/Advertising · Digital · Digital Marketing · Design · Google Adwords · SEO · SEM · Social Media · Marketing · English
Digital Marketing Specialist,Sidra -,2 months ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Analysis · Digital Marketing · digital media · Advertising · E-Marketing · Communication · Google Analytics · Social Media
Assistant Marketing Manager,GROOVY Medical Spa -,16 days ago,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · E-Marketing · Communication · Content Management · Marketing · Social Media · Google Analytics · CRM · Editing
Creative Content Creator,Peerless -,11 days ago,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · English · Content · content creator · Content Management · Marketing · media · Online Marketing
Freelance English Content Writer,Vijua -,17 days ago,"6th of October, Giza, Egypt ",Freelance / ProjectWork From HomeExperienced · 2+ Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · Writing · Content · Content Writing · SEO · Content Editing · English writing
Content Creator Specialist,Confidential -,9 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · Creative/Design/Art · Writing/Editorial · Marketing/PR/Advertising · Content · English · Marketing · media · Research · Social Media · Writing
Sales Manager,RAQAMYAT -,18 days ago,"Maadi, Cairo, Egypt ",Full TimeManager · 7+ Yrs of Exp · Sales/Retail · Sales Manager · Sales Target · People Management · sales skills · Ecommerce · Software Development · Digital Marketing · Business Development · Sales
Media Buyer,ripplemark -,6 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Google Ads · Digital Marketing · Media Buying · PPC · Ads · campaigns · Communication · Digital
Marketing Manager (Travel - Startup) - October city,Pillars -,9 days ago,"Giza, Egypt ",Full TimeManager · 5 - 9 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · Travel · Travel Sales
Strategy Specialist,Baheya Group For Hospitals and Projects -,15 days ago,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Administration · Human Resources · Operations/Management · HR Strategy · HR · Human Resources (HR) · Strategy · Digital Marketing · E-Marketing · Social Media
SEO Analyst,CoatConnect -,10 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Business Development · Marketing/PR/Advertising · Analyst/Research · Digital Marketing · SEO · Marketing · Analyst · Social Media · Google Analytics · HTML
Online Operation Specialist,Gila Electric -,9 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Customer Service/Support · Logistics/Supply Chain · Online Marketing · Digital Marketing · Communication · Communication skills · Operations · Social Media
Marketing Communications Specialist,PENCILIGHT -,10 days ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · communications · Marketing Communications · Social Media · E-Marketing · CRM · Customer Service
Marketing Manager,Splendid Pharma -,2 months ago,"Cairo, Egypt ",Full TimeManager · 10 - 15 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · campaigns · Communication skills · Market Research · Marketing Campaigns · Sales · Social Media · Skills · Marketing
E-commerce & Digital Marketing Specialist,Audio Technology -,18 days ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3 - 4 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · E-Commerce · E-Marketing · Marketing · Social Media · Communication · Digital Marketing · media · social
Account Manager,Candeo Promotions -,18 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing agency · Marketing · Digital Marketing · Account Management
Senior SEO,FlairsTech -,18 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · E-Marketing · English · Google Analytics · Management · SEO · Social Media · campaigns · Communication skills
Social Media Specialist - Project Based,Speakup -,20 days ago,"Maadi, Cairo, Egypt ",Full TimePart TimeEntry Level · 1+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Social Media · Marketing · E-marketing · Advertising · Customer Support · Networking · Online Marketing · Media
Senior Media Buyer,DPM Advertising Agency -,2 months ago,"Cairo, Egypt ",Full TimeExperienced · 3 - 4 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Creative · Digital Marketing · Digital · Google Analytics · Media Buying · Online Marketing · Social Media · facebook
Business Developer ( Digital Marketing Agency ),Penvlit -,15 days ago,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Business Development · Marketing/PR/Advertising · Sales/Retail · Digital Marketing · sales · Marketing · Communication · Digital Advertising · Digital · Negotiation
Senior Creative Copywriter,Social Peak -,13 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Copywriting · Social Media · Writing Skills · English · Arabic · Creative · Design · Writing
Senior Data Analytics Specialist,Confidential -,16 days ago,"Dammam, Saudi Arabia ",Full TimeExperienced · 5+ Yrs of Exp · Analyst/Research · analytical · Computer Science · Software Development · SQL · Analysis · Google Analytics · Digital Marketing · Marketing · Social Media
Content Creation Internship,Osolutions -,2 days ago,"Heliopolis, Cairo, Egypt ",InternshipEntry Level · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · Content · Content Creation · Digital Marketing · Marketing · Content Writing · Content Development · Content Marketing
Business Development Executive (Sales),DPM Advertising Agency -,20 days ago,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · Business Development · Sales/Retail · Business Development · Digital Marketing · English · Marketing · Microsoft Word · Negotiation · Sales · Sales Target
Marketing & Planning Coordinator - DSAF,Azza Fahmy Jewellery -,19 days ago,"Cairo, Egypt ",Full TimeEntry Level · 0 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · media · Management · Social Media · Market Research · English
Media buyer,Admireworks -,18 days ago,"Dubai, United Arab Emirates ",Work From HomeExperienced · 2+ Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · Google Ads · Social Media · social · media · Marketing · google
Digital Marketing Manager,Tabarak Holding  -,2 months ago,"New Cairo, Cairo, Egypt ",Full TimeManager · 8+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · Digital · Social Media · SEO · Marketing · media · E-Marketing · Communication
Senior Business Development Executive,Verdura Consulting -,22 days ago,"Dokki, Giza, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Business Development · Marketing/PR/Advertising · Marketing · English · Communication · Business Development · Administration · business · Business Administration · Digital
Digital Marketing Executive,Confidential -,2 months ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital · Digital Marketing · E-Marketing · E-Learning · Marketing · CRM · Market Research · Social Media
Pharmaceutical Social Media Specialist,Pharmascienta - Nefertari Body Care -,19 days ago,"Zamalek, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · females_only · Marketing/PR/Advertising · Media/Journalism/Publishing · Pharmaceutical · Social Media · Marketing · Digital Marketing · Pharmacy · Pharmaceutical
Digital Marketing Strategist,Admireworks -,2 months ago,"Dubai, United Arab Emirates ",Freelance / ProjectExperienced · 4+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Creative · Digital Marketing · Social Media · campaigns · Marketing · Digital campaigns · E-Marketing
Senior Media Buyer,IRAM -,19 days ago,"Cairo, Egypt ",Full TimePart TimeManager · 4 - 6 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Ads · Analysis · campaigns · Digital Marketing · Marketing · media · online · Social Media
Illustrator & Graphic Dessigner,Movibilecases -,24 days ago,"Haram, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Adobe Photoshop · Design · Adobe Illustrator · Graphic Design · Marketing · InDesign · Illustrator · Social Media
Assistant Marketing Manager,El Abd Group -,18 days ago,"Dokki, Giza, Egypt ",Full TimeExperienced · 5 - 9 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Marketing · Home appliances · appliances · Electrical · Administration · Field · Home
Senior Marketplace Accounts Manager,Confidential -,23 days ago,"New Cairo, Cairo, Egypt ",Full TimeManager · 2+ Yrs of Exp · Operations/Management · Sales/Retail · Fashion · E-Commerce · Fashion · Marketing · Retail · Sales · English · Social Media
Marketing Specialist - Software,Mest -,2 months ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Online Marketing · Marketing Online · Social Media · Digital Marketing · Marketing · E-Marketing · Content Creation · Content Writing
Senior Media Buyer-Real Estate,M² Developments -,26 days ago,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · buying · digital media · Digital · Marketing · Media Buying · Real Estate
Digital Marketing Executive,Estsmar Masr -,2 months ago,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Advertising · Market Research · Marketing · Communication · Sales · MS Office
Media buyer,Diturn -,25 days ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising · media buyer · marketing · Advertising · Ads · Digital · Digital Marketing · ROI · Social Media
WordPress Developer,Confidential -,26 days ago,"Alexandria, Egypt ",Full TimePart TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · WP · Information Technology (IT) · WordPress · SEO · Plugins · Computer Science · PHP · Content
Content Creator,Hands of Hope Physical Therapy & Wellness -,24 days ago,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · Communication skills · English · Marketing · Content Management · journalism · Editing · WordPress
Social Media Specialist,MWG -,24 days ago,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · SEO · SEM · Marketing · E-marketing · Digital Marketing · Digital Media · Social Media
Media Buyer,ServerHub -,26 days ago,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Media/Journalism/Publishing · Google Ads · Google Analytics · Google Web Toolkit · Google Keyword Planner · Google AdSense · Google Doubleclick · Search Engine Optimization
Media Buyer,Deli Techno -,25 days ago,"Alexandria, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Purchasing/Procurement · campaigns · Digital Marketing · Planning · Advertising · Online Ads · Google Ads
Online - English Instructor,English Zone -,23 days ago,"6th of October, Giza, Egypt ",Full TimePart TimeWork From HomeEntry Level · 1 - 3 Yrs of Exp · Education/Teaching · Training/Instructor · Instruction · learning · English Teaching · English Education · English Instructing · Communication · Communication skills · Administration
Growth Manager,Raya Distribution -,24 days ago,"Maadi, Cairo, Egypt ",Full TimeManager · 5+ Yrs of Exp · Operations/Management · Marketing/PR/Advertising · Analysis · Digital Marketing · E-Commerce · Marketing · Sales · Social Media · Analytics · Analytics tools
Media Buyer & Planner,Confidential -,27 days ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Buyer · Digital Marketing · media · Media Buyer · SEO · Social Media · Ads · Marketing
Product Line Head (Marketing),El Abd Group -,23 days ago,"Giza, Egypt ",Full TimeExperienced · 5 - 9 Yrs of Exp · Business Development · Marketing/PR/Advertising · Sales/Retail · Marketing · Communication skills · Business Management · Engineering · Software · Electrical
PR Specialist,realme -,27 days ago,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · females_only · Marketing/PR/Advertising · Media/Journalism/Publishing · Advertising · Content Writing · Marketing · PR · Public Relations (PR) · English · Social Media · communications
Account Executive (Advertising),@DESIGNS Agency -,24 days ago,"Dokki, Giza, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Sales/Retail · Sales · Advertising · Sales Skills · Marketing · Sales Target · Account Management · Digital marketing · Customer Service · English
E Marketing Specialist,I-Technology -,2 months ago,"Ain Shams, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · females_preferred · Marketing/PR/Advertising · Media/Journalism/Publishing · E-Marketing · Social Media · SEO · Digital Marketing · Content Creation · Media Buying
SEO Specialist,SEOS7 -,27 days ago,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · SEO · Digital Marketing · Social Media · Public Relations (PR) · Microsoft Office · Microsoft Excel · Media · Marketing
Marketing Specialist,icc-edu -,2 months ago,"Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · Digital Marketing · Market Research · Marketing Campaigns · Social Media · SEO · E-Marketing
E Commerce Manager,Alarabia Group -,1 month ago,"10th of Ramadan City, Cairo, Egypt ",Full TimeManager · 7 - 10 Yrs of Exp · males_only · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Administration · Business Administration · Commerce · Communication · Communication skills · Digital Marketing · E-Commerce
Marketing and PR Specialist,Sigma for Imp & Exp & Opera hearing Solutions -,26 days ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · females_only · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Advertising · communications · Content · Content Writing · E-Marketing · Marketing · English
Marketing Manager,Confidential -,27 days ago,"Mokattam, Cairo, Egypt ",Full TimeManager · 10 - 15 Yrs of Exp · Marketing/PR/Advertising · Marketing · Online Marketing · media · Social Media · Market Research · Communication · English · Electronic Marketing · FMCG
Media Buyer Expert,Tadarab -,30 days ago,"Victoria, Alexandria, Egypt ",Full TimeExperienced · 6 - 9 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Advertising · Marketing · Digital Marketing · Media Buyer · Social Media
Executive Secretary,Mirtec International -,1 month ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 15+ Yrs of Exp · Administration · Digital Marketing · Media · Social Media · Administration · Online Marketing · Admin Assistant · Office Management · Microsoft Office · Admin
Growth & Marketing Manager,QFinds -,1 month ago,"Cairo, Egypt ",Full TimeFreelance / ProjectWork From HomeManager · 5 - 20 Yrs of Exp · Marketing/PR/Advertising · English · Marketing Strategy · Marketing · Growth Hacking · Startup
Product Marketing Specialist,Beko -,1 month ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Advertising · Communication · Computer Skills · Market Research · Marketing · SEO · Sales · Social Media
Senior Social Media Designer,Bold Brand -,1 month ago,"Mokattam, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · illustrator · indesign · Marketing · media · Design · Graphic · Graphic Design
Social Media Manager,Dumiah animation studio -,1 month ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · media · SEO · social · Social Media · Social Media Strategy · twitter
Digital Content Creator,Anasia Egypt for Trading -,2 months ago,"Sheraton, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · content creator · Content · Digital Marketing · English · Editing · Marketing · media
